Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00     1623     0.00     0.00  int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.00      0.00     0.00     1623     0.00     0.00  int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.00      0.00     0.00     1614     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00     1614     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.00     0.00     1614     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.00     0.00     1611     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<int> >::_S_select_on_copy(std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00     1611     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::allocator_traits<std::allocator<int> >::select_on_container_copy_construction(std::allocator<int> const&)
  0.00      0.00     0.00     1611     0.00     0.00  std::vector<int, std::allocator<int> >::vector(std::vector<int, std::allocator<int> > const&)
  0.00      0.00     0.00     1432     0.00     0.00  bool __gnu_cxx::operator!=<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >(__gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&, __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > > const&)
  0.00      0.00     0.00     1408     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.00     0.00     1408     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.00     0.00     1408     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.00     0.00     1408     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.00     0.00     1386     0.00     0.00  std::vector<std::unique_ptr<Drawable, std::default_delete<Drawable> >, std::allocator<std::unique_ptr<Drawable, std::default_delete<Drawable> > > >::size() const
  0.00      0.00     0.00     1297     0.00     0.00  ActorInfo const& std::forward<ActorInfo const&>(std::remove_reference<ActorInfo const&>::type&)
  0.00      0.00     0.00     1267     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator++()
  0.00      0.00     0.00     1267     0.00     0.00  __gnu_cxx::__normal_iterator<ActorInfo const*, std::vector<ActorInfo, std::allocator<ActorInfo> > >::operator*() const
  0.00      0.00     0.00     1258     0.00     0.00  void std::_Destroy<ActorInfo>(ActorInfo*)
  0.00      0.00     0.00     1231     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.00     0.00     1231     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.00     0.00     1208     0.00     0.00  void std::_Construct<ActorInfo, ActorInfo const&>(ActorInfo*, ActorInfo const&)
  0.00      0.00     0.00     1201     0.00     0.00  Drawable::Drawable()
  0.00      0.00     0.00     1128     0.00     0.00  std::remove_reference<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>::type&& std::move<std::unique_ptr<Drawable, std::default_delete<Drawable> >&>(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     1114     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >* std::__addressof<std::unique_ptr<Drawable, std::default_delete<Drawable> > >(std::unique_ptr<Drawable, std::default_delete<Drawable> >&)
  0.00      0.00     0.00     1098     0.00     0.00  std::_Head_base<1ul, std::default_delete<Drawable>, true>::_Head_base<std::default_delete<Drawable> >(std::default_delete<Drawable>&&)
  0.00      0.00     0.00     1098     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::release()
  0.00      0.00     0.00     1098     0.00     0.00  std::unique_ptr<Drawable, std::default_delete<Drawable> >::unique_ptr(std::unique_ptr<Drawable, std::default_delete<Drawable> >&&)
